codigo_orden,nombre_orden,prioridad,fecha_creacion,requerido_por,fecha_aprobacion,equipo,codigo_equipo,tipo_mantenimiento,descripcion,fecha_inicio,fecha_finalizacion,cuadrilla,personal_asignado,supervisor,insumo,codigo_insumo,epp,ast,responsable,autorizacion,comentarios
OM-023,Rotor Bifasico,Media,2026-05-29,Silva,2026-06-21,Rotor Bifasico(2;3),7,Preventivo,Engrase de puntos de fricción y comprobación de escobillas (si aplica),2026-06-21,2026-06-22,3,Silva,Sosa,Herramientas generales,0001,guantes y lentes,SI,Silva,Bremermann,Tarea mensual programada según plan anual.
OM-024,Rotor Bifasico,Media,2026-05-29,Pereira,2026-08-17,Rotor Bifasico(2;3),7,Preventivo,Verificación de escobillas (si tiene) y limpieza del colector de delgas,2026-08-17,2026-08-18,1,Pereira,Bremermann,Herramientas generales,0001,botas de seguridad y guantes,SI,Pereira,Sosa,Tarea trimestral programada según plan anual.
OM-025,Rotor Bifasico,Alta,2026-05-29,Bremermann,2026-08-01,Rotor Bifasico(2;3),7,Preventivo,Revisión de la integridad de los devanados y limpieza técnica del estator,2026-08-01,2026-08-02,1,Bremermann,Bremermann,Herramientas generales,0001,guantes y lentes,SI,Bremermann,Bremermann,Tarea semestral programada según plan anual.
OM-026,Rotor Bifasico,Alta,2026-05-29,Pereira,2027-03-09,Rotor Bifasico(2;3),7,Predictivo,Verificación de excentricidad del eje y balanceo dinámico del conjunto rotativo,2027-03-09,2027-03-11,2,Pereira,Sosa,Herramientas generales,0001,"mascara, guantes y lentes",SI,Pereira,Sosa,Tarea anual programada según plan anual.
OM-027,Torno,Media,2026-05-29,Bremermann,2026-08-21,Torno(A2;4),8,Preventivo,Verificación de la tensión de correas de transmisión y ajuste de juegos en carros,2026-08-21,2026-08-22,2,Bremermann,Sosa,Herramientas generales,0001,"guantes, lentes y casco",SI,Bremermann,Bremermann,Tarea mensual programada según plan anual.
OM-028,Torno,Media,2026-05-29,Sosa,2026-10-12,Torno(A2;4),8,Preventivo,Comprobación de la precisión de los carros y revisión de holguras en el husillo patrón,2026-10-12,2026-10-16,3,Sosa,Sosa,Herramientas generales,0001,botas de seguridad y guantes,SI,Sosa,Sosa,Tarea trimestral programada según plan anual.
OM-029,Torno,Alta,2026-05-29,Gomez,2026-07-30,Torno(A2;4),8,Preventivo,Cambio de lubricantes: Sustitución total del aceite de la caja de velocidades y delantal,2026-07-30,2026-07-31,2,Gomez,Sosa,Herramientas generales,0001,"mascara, guantes y lentes",SI,Gomez,Bremermann,Tarea semestral programada según plan anual.
OM-030,Torno,Alta,2026-05-29,Rodriguez,2026-08-30,Torno(A2;4),8,Preventivo,"Verificación de nivelación de bancada con nivel de precisión y ajuste de tuercas de husillos para eliminar ""backlash""",2026-08-30,2026-09-02,2,Rodriguez,Bremermann,Herramientas generales,0001,guantes dieléctricos y lentes,SI,Rodriguez,Bremermann,Tarea anual programada según plan anual.
OM-031,Bomba Hidraulica,Media,2026-05-29,Rodriguez,2026-10-27,Bomba Hidraulica(3;1),9,Preventivo,Inspección del estado de mangueras (grietas o sudoración) y nivel de aceite del tanque,2026-10-27,2026-10-28,2,Rodriguez,Sosa,"Sellos mecánicos, grasa",0401 0402,guantes y lentes,SI,Rodriguez,Sosa,Tarea mensual programada según plan anual.
OM-032,Bomba Hidraulica,Media,2026-05-29,Pereira,2027-01-15,Bomba Hidraulica(3;1),9,Predictivo,Análisis del estado del aceite (viscosidad/contaminación) y limpieza del filtro de succión,2027-01-15,2027-01-17,2,Pereira,Sosa,"Sellos mecánicos, grasa",0401 0402,guantes y lentes,SI,Pereira,Sosa,Tarea trimestral programada según plan anual.
OM-033,Bomba Hidraulica,Alta,2026-05-29,Bremermann,2026-06-17,Bomba Hidraulica(3;1),9,Preventivo,Calibración de las válvulas de alivio de presión y revisión de acumuladores,2026-06-17,2026-06-18,3,Bremermann,Sosa,"Sellos mecánicos, grasa",0401 0402,botas de seguridad y guantes,SI,Bremermann,Sosa,Tarea semestral programada según plan anual.
OM-034,Bomba Hidraulica,Alta,2026-05-29,Bremermann,2026-11-04,Bomba Hidraulica(3;1),9,Preventivo,Cambio de fluido: Sustitución total del aceite hidráulico y limpieza manual del fondo del tanque para eliminar lodos,2026-11-04,2026-11-08,3,Bremermann,Bremermann,"Sellos mecánicos, grasa",0401 0402,botas de seguridad y guantes,SI,Bremermann,Sosa,Tarea anual programada según plan anual.
OM-035,Reductor de Engranajes,Media,2026-05-29,Gomez,2027-02-02,Reductor de Engranajes(A3;2),10,Predictivo,Control de vibraciones y ruidos internos inusuales (engranajes picados),2027-02-02,2027-02-03,3,Gomez,Bremermann,Herramientas generales,0001,botas de seguridad y guantes,SI,Gomez,Sosa,Tarea mensual programada según plan anual.
OM-036,Reductor de Engranajes,Media,2026-05-29,Sosa,2027-03-10,Reductor de Engranajes(A3;2),10,Preventivo,Comprobación de juegos entre dientes (backlash) y reapriete de pernos de anclaje a la base,2027-03-10,2027-03-14,2,Sosa,Bremermann,Herramientas generales,0001,guantes y lentes,SI,Sosa,Sosa,Tarea trimestral programada según plan anual.
OM-037,Reductor de Engranajes,Alta,2026-05-29,Bremermann,2026-12-17,Reductor de Engranajes(A3;2),10,Predictivo,Análisis de partículas: Tomar muestra de aceite para buscar residuos metálicos de desgaste,2026-12-17,2026-12-19,2,Bremermann,Bremermann,Herramientas generales,0001,"guantes, lentes y casco",SI,Bremermann,Sosa,Tarea semestral programada según plan anual.
OM-038,Reductor de Engranajes,Alta,2026-05-29,Pereira,2026-09-14,Reductor de Engranajes(A3;2),10,Preventivo,"Sustitución total del lubricante, inspección visual de la huella de contacto en los dientes de los engranajes",2026-09-14,2026-09-18,3,Pereira,Bremermann,Herramientas generales,0001,"mascara, guantes y lentes",SI,Pereira,Bremermann,Tarea anual programada según plan anual.
OM-039,Bomba de H2O,Media,2026-05-29,Bremermann,2026-12-15,Bomba de H2O(A3;3),11,Preventivo,Verificación de alineación de ejes y estado del acoplamiento elástico,2026-12-15,2026-12-18,2,Bremermann,Bremermann,"Sellos mecánicos, grasa",0401 0402,botas de seguridad y guantes,SI,Bremermann,Bremermann,Tarea mensual programada según plan anual.
OM-040,Bomba de H2O,Media,2026-05-29,Bremermann,2026-10-01,Bomba de H2O(A3;3),11,Predictivo,Medición de consumo eléctrico (Amperaje) para detectar sobreesfuerzos mecánicos,2026-10-01,2026-10-02,3,Bremermann,Sosa,"Sellos mecánicos, grasa",0401 0402,"mascara, guantes y lentes",SI,Bremermann,Sosa,Tarea trimestral programada según plan anual.
OM-041,Bomba de H2O,Alta,2026-05-29,Sosa,2027-02-17,Bomba de H2O(A3;3),11,Predictivo,Análisis de Vibraciones: Análisis espectral para detectar fatiga en rodamientos antes de que fallen,2027-02-17,2027-02-21,3,Sosa,Bremermann,"Sellos mecánicos, grasa",0401 0402,"mascara, guantes y lentes",SI,Sosa,Bremermann,Tarea semestral programada según plan anual.
OM-042,Bomba de H2O,Alta,2026-05-29,Pereira,2026-10-04,Bomba de H2O(A3;3),11,Preventivo,Desmontaje para inspección del impulsor (erosión/cavitación) y cambio preventivo del sello mecánico,2026-10-04,2026-10-07,3,Pereira,Bremermann,"Sellos mecánicos, grasa",0401 0402,guantes dieléctricos y lentes,SI,Pereira,Sosa,Tarea anual programada según plan anual.
OM-043,Generador a combustion interna,Media,2026-05-29,Gomez,2027-03-27,Generador a combustion interna(A3;4),12,Preventivo,Inspección de filtros de aire y comprobación de niveles de aceite/anticongelante,2027-03-27,2027-03-29,3,Gomez,Sosa,Herramientas generales,0001,"guantes, lentes y casco",SI,Gomez,Bremermann,Tarea mensual programada según plan anual.
OM-044,Generador a combustion interna,Media,2026-05-29,Rodriguez,2026-07-25,Generador a combustion interna(A3;4),12,Detectivo,Prueba de transferencia de carga (conectar el generador a la red real de la planta),2026-07-25,2026-07-27,2,Rodriguez,Bremermann,Herramientas generales,0001,"mascara, guantes y lentes",SI,Rodriguez,Bremermann,Tarea trimestral programada según plan anual.
OM-045,Generador a combustion interna,Alta,2026-05-29,Bremermann,2026-06-11,Generador a combustion interna(A3;4),12,Preventivo,Limpieza de sedimentos en el tanque de combustible y sustitución de filtros de gasoil/nafta,2026-06-11,2026-06-13,1,Bremermann,Sosa,Herramientas generales,0001,"guantes, lentes y casco",SI,Bremermann,Sosa,Tarea semestral programada según plan anual.
OM-046,Generador a combustion interna,Alta,2026-05-29,Bremermann,2026-11-21,Generador a combustion interna(A3;4),12,Preventivo,"Servicio mayor: Cambio de bujías/inyectores, reglaje de válvulas y prueba de banco de carga al 100% por 2 horas",2026-11-21,2026-11-24,3,Bremermann,Sosa,Herramientas generales,0001,guantes dieléctricos y lentes,SI,Bremermann,Bremermann,Tarea anual programada según plan anual.
OM-047,Sensor electronico,Media,2026-05-29,Silva,2026-09-13,Sensor electronico(A4;1),13,Preventivo,Limpieza de la cara del sensor y verificación de ajuste de soportes (vibración),2026-09-13,2026-09-16,2,Silva,Sosa,Herramientas generales,0001,botas de seguridad y guantes,SI,Silva,Sosa,Tarea mensual programada según plan anual.
OM-048,Sensor electronico,Media,2026-05-29,Bremermann,2026-07-21,Sensor electronico(A4;1),13,Preventivo,Prueba de lazo (loop test): Verificar que la señal del sensor llegue correctamente al PLC/Controlador,2026-07-21,2026-07-25,3,Bremermann,Sosa,Herramientas generales,0001,botas de seguridad y guantes,SI,Bremermann,Bremermann,Tarea trimestral programada según plan anual.
OM-049,Sensor electronico,Alta,2026-05-29,Rodriguez,2026-11-03,Sensor electronico(A4;1),13,Preventivo,Recalibración: Ajuste de los valores de referencia contra un patrón certificado,2026-11-03,2026-11-05,2,Rodriguez,Bremermann,Herramientas generales,0001,guantes dieléctricos y lentes,SI,Rodriguez,Sosa,Tarea semestral programada según plan anual.
OM-050,Sensor electronico,Alta,2026-05-29,Gomez,2026-06-06,Sensor electronico(A4;1),13,Correctivo Prog.,Sustitución de sensores que hayan cumplido su ciclo de vida útil o presenten derivas térmicas constantes,2026-06-06,2026-06-09,1,Gomez,Sosa,Herramientas generales,0001,botas de seguridad y guantes,SI,Gomez,Sosa,Tarea anual programada según plan anual.
OM-051,Gabinete electrico,Media,2026-05-29,Bremermann,2027-03-11,Gabinete electrico(A4;2),14,Preventivo,Limpieza de filtros de ventilación y soplado de polvo acumulado (aire seco),2027-03-11,2027-03-12,3,Bremermann,Sosa,Herramientas generales,0001,"mascara, guantes y lentes",SI,Bremermann,Bremermann,Tarea mensual programada según plan anual.
OM-052,Gabinete electrico,Media,2026-05-29,Bremermann,2026-11-11,Gabinete electrico(A4;2),14,Predictivo,Inspección termográfica de las protecciones (termomagnéticos y fusibles) para detectar sobrecargas,2026-11-11,2026-11-12,3,Bremermann,Bremermann,Herramientas generales,0001,"guantes, lentes y casco",SI,Bremermann,Sosa,Tarea trimestral programada según plan anual.
OM-053,Gabinete electrico,Alta,2026-05-29,Sosa,2027-02-01,Gabinete electrico(A4;2),14,Preventivo,Revisión de la estanqueidad (juntas) y estado de los ventiladores forzados,2027-02-01,2027-02-05,1,Sosa,Bremermann,Herramientas generales,0001,"mascara, guantes y lentes",SI,Sosa,Bremermann,Tarea semestral programada según plan anual.
OM-054,Gabinete electrico,Alta,2026-05-29,Silva,2027-03-20,Gabinete electrico(A4;2),14,Preventivo,"Reorganización de cableado (peinado), revisión de estanqueidad de juntas y sustitución de ventiladores",2027-03-20,2027-03-22,1,Silva,Bremermann,Herramientas generales,0001,"mascara, guantes y lentes",SI,Silva,Bremermann,Tarea anual programada según plan anual.
OM-055,Sistema de incendios,Media,2026-05-29,Pereira,2027-02-13,Sistema de incendios(A4;3),15,Detectivo,"Prueba de funcionamiento de pulsadores, sirenas y luces de emergencia",2027-02-13,2027-02-14,2,Pereira,Bremermann,Herramientas generales,0001,botas de seguridad y guantes,SI,Pereira,Bremermann,Tarea mensual programada según plan anual.
OM-056,Sistema de incendios,Media,2026-05-29,Pereira,2026-12-29,Sistema de incendios(A4;3),15,Detectivo,Comprobación de válvulas de flujo,2026-12-29,2027-01-01,2,Pereira,Bremermann,Herramientas generales,0001,guantes dieléctricos y lentes,SI,Pereira,Bremermann,Tarea trimestral programada según plan anual.
OM-057,Sistema de incendios,Alta,2026-05-29,Pereira,2026-07-23,Sistema de incendios(A4;3),15,Detectivo,Inspección técnica externa certificada (comprobación de peso y agente extintor),2026-07-23,2026-07-26,1,Pereira,Sosa,Herramientas generales,0001,botas de seguridad y guantes,SI,Pereira,Bremermann,Tarea semestral programada según plan anual.
OM-058,Sistema de incendios,Alta,2026-05-29,Sosa,2026-10-08,Sistema de incendios(A4;3),15,Detectivo,Retimbrado: Prueba hidrostática de recipientes y certificación legal por ente externo según normativa,2026-10-08,2026-10-10,2,Sosa,Bremermann,Herramientas generales,0001,guantes y lentes,SI,Sosa,Sosa,Tarea anual programada según plan anual.
OM-059,Ventilacion,Media,2026-05-29,Silva,2026-10-22,Ventilacion(A4;4),16,Preventivo,Comprobación de vibración en aspas y estado de los rodamientos del extractor,2026-10-22,2026-10-24,1,Silva,Bremermann,Herramientas generales,0001,"guantes, lentes y casco",SI,Silva,Sosa,Tarea mensual programada según plan anual.
OM-060,Ventilacion,Media,2026-05-29,Rodriguez,2026-12-17,Ventilacion(A4;4),16,Preventivo,Limpieza profunda de álabes y verificación de la alineación de la transmisión por correas,2026-12-17,2026-12-20,1,Rodriguez,Bremermann,Herramientas generales,0001,guantes y lentes,SI,Rodriguez,Sosa,Tarea trimestral programada según plan anual.
OM-061,Ventilacion,Alta,2026-05-29,Pereira,2026-06-24,Ventilacion(A4;4),16,Preventivo,Cambio de correas: Sustitución de correas de transmisión para evitar roturas por fatiga térmica,2026-06-24,2026-06-25,2,Pereira,Bremermann,Herramientas generales,0001,botas de seguridad y guantes,SI,Pereira,Sosa,Tarea semestral programada según plan anual.
OM-062,Ventilacion,Alta,2026-05-29,Bremermann,2026-08-24,Ventilacion(A4;4),16,Preventivo,Equilibrado de álabes y revisión de la estructura de anclaje para evitar fatiga por vibración,2026-08-24,2026-08-26,2,Bremermann,Bremermann,Herramientas generales,0001,"guantes, lentes y casco",SI,Bremermann,Sosa,Tarea anual programada según plan anual.
